date,event,age
1000,About this time the Istari first appear in Middle-earth.,TA
1015,Death of King Ciryandil: Ciryaher (later Hyarmendacil I) becomes the fifteenth King of Gondor and last of its Ship-kings.,TA
1029,Death of King Beleg: Mallor becomes the third King of Arthedain.,TA
1049,Birth of Narmacil I of Gondor.,TA
1050,"Ciryaher conquers Harad and takes the name Hyarmendacil, ""South-victor"", in token of this. Gondor reaches the height of its power.About this time a shadow falls on Greenwood, and men begin to call it Mirkwood.The Periannath are first mentioned in records with the coming of the Harfoots to Eriador.",TA
1058,Birth of Calmacil of Gondor.,TA
1062,Birth of Celebrindor of Arthedain.,TA
1100,The Wise (the Istari and chief Eldar) discover that an evil power has made a stronghold at Dol Guldur. It is thought to be one of the Nazgûl.,TA
1110,Death of King Mallor: Celepharn becomes the fourth King of Arthedain.,TA
1126,Birth of Minalcar (later Rómendacil II) of Gondor.,TA
1144,Birth of Malvegil of Arthedain.,TA
1149,Death of King Hyarmendacil I: Atanatar II Alcarin becomes the sixteenth King of Gondor.,TA
1150,"About this time, the Fallohides enter Eriador, and the Stoors come over the Redhorn Pass and move to the Angle, or to Dunland.",TA
1191,Death of King Celepharn: Celebrindor becomes the fifth King of Arthedain.,TA
1194,Birth of Valacar of Gondor.,TA
1226,Death of King Atanatar II Alcarin: Narmacil I becomes the seventeenth King of Gondor.Birth of Argeleb I of Arthedain.,TA
1240,Minalcar (later Rómendacil II) made Regent of Gondor by his uncle King Narmacil II.,TA
1248,"Minalcar defeats a large army of Easterlings. He takes the name Rómendacil.About this time, construction on the Argonath begins.",TA
1250,"Minalcar (Rómendacil II) sends his son, Valacar, as an ambassador to the self-styled King of  Rhovanion, Vidugavia, prince of the Northmen, in order to better understand their customs.",TA
1255,Birth of Vinitharya (Eldacar) of Gondor in  Rhovanion.,TA
1259,Birth of Castamir of Gondor.,TA
1260,"Valacar recalled from  Rhovanion, by his father, to return to Gondor.",TA
1272,Death of King Celebrindor: Malvegil becomes the sixth King of Arthedain.,TA
1294,Death of King Narmacil I: Calmacil becomes the eighteenth King of Gondor.,TA
1300,"The Nazgûl reappear, the Witch-king founds the Kingdom of Angmar. Orcs increase in the Misty Mountains and attack the Dwarves. Hobbits move westward; some settling in Bree.",TA
1304,Death of King Calmacil: Rómendacil II becomes the nineteenth King of Gondor.,TA
1309,Birth of Arveleg I of Arthedain.,TA
1330,Birth of Aldamir of Gondor.,TA
1344,"Death of Vidumavi (Galadwen), wife of King Valacar.",TA
1349,Death of King Malvegil: Argeleb I becomes the seventh King of Arthedain.,TA
1356,Death of King Argeleb I: Arveleg I becomes the eighth King of Arthedain. About this time some Stoors return to the Gladden Fields.,TA
1366,Death of King Rómendacil II: Valacar becomes the twentirth King of Gondor.,TA
1391,Births of Araphor of Arnor and Vinyarion (Hyarmendacil II) of Gondor.,TA
1409,"The Witch-king of Angmar invades Arnor, destroys the Tower of Amon Sûl, occupies Rhudaur and ravages Cardolan. Death of King Arveleg I: Araphor becomes the ninth King of Arthedain.",TA
1432,Death of King Valacar: Eldacar (born Vinitharya) becomes the twenty-first King of Gondor. Start of the Kin-strife.,TA
1437,"King Eldacar deposed: Castamir ""the Usurper"" becomes the twenty-second King of Gondor. Osgiliath-stone lost in Anduin.",TA
1447,Battle of the Crossings of Erui and the Siege of Pelargir. Death of King Castamir: Eldacar regains the kingship of Gondor. End of the Kin-Strife.,TA
1448,Rebels of the sons of Castamir escape the Siege of Pelargir and seize the Haven of Umbar.,TA
1454,Birth of Minardil of Gondor.,TA
1473,Birth of Argeleb II of Arthedain.,TA
1490,Death of King Eldacar: Aldamir becomes the twenty-third King of Gondor.,TA
1516,Birth of Telemnar of Gondor.,TA
1540,Death of King Aldamir: Vinyarion becomes the twenty-fourth King of Gondor.,TA
1551,King Vinyarion defeats the Haradrim and assumes name Hyarmendacil II.,TA
1553,Birth of Arvegil of Arthedain.,TA
1577,Birth of Tarondor of Gondor.,TA
1589,Death of King Araphor: Argeleb II becomes the tenth King of Arthedain.,TA
1,The Fourth Age begins in the reckoning of the Shire.[1],FO
2,Death of Adelard Took.[2] Birth of Frodo Gardner.[3],FO
4,Birth of Rose Gardner.[3],FO
6,"Will Whitfoot resigns and Samwise is elected Mayor.[4] Merry Gardner born.[3] Peregrin Took marries Diamond of Long Cleeve.[4]King Elessar issues an edict that Men are not to enter the Drúadan Forest and Shire, and he makes it a Free Land under the protection of the Northern Sceptre.[4]",FO
7,Death of Gaffer Gamgee.[3],FO
8,Birth of Pippin Gardner.[3],FO
9,Birth of Faramir Took I son of Peregrin Took.[2] Deaths of Merimac Brandybuck[5] and Vigo Boffin.[6],FO
10,Birth of Goldilocks Gardner.[3] Death of Odovacar Bolger.[7],FO
11,Death of the Saradoc Brandybuck.[5] Meriadoc becomes Master of Buckland and great gifts are sent to him by King Éomer and Lady Éowyn of Ithilien.[4] Birth of Hamfast Gardner.[3],FO
12,Birth of Daisy Gardner.[3],FO
13,"Death of Paladin Took II.[2] Peregrin Took becomes the Thain and King Elessar makes the Thain, the Master of Buckland and the Mayor to be Counsellors of the North-kingdom.[4] Samwise elected Mayor for the second time.[4]",FO
14,Death of Olo Proudfoot.[8]Birth of Primrose Gardner.[3],FO
15,"King Elessar rides north and dwells for a while in Annúminas by Lake Evendim. He comes to the Brandywine Bridge, and there greets his friends. He gives the Star of the Dúnedain to Master Samwise, and Elanor is made a maid of honour to Queen Arwen.[4] Death of Glóin.[9]Birth of Bilbo Gardner.[3]",FO
17,Birth of Ruby Gardner.[3],FO
19,Birth of Robin Gardner.[3] Death of Farmer Cotton.[3],FO
20,"Samwise elected Mayor for the third time.[4] Legolas brought south Elves out of Greenwood, and they dwelt in Ithilien, and it became once again the ""fairest country in all the westlands.""[10][11]",FO
21,"Samwise, Rose and Elanor ride to Gondor; Master Tolman Cotton acts as deputy Mayor.[4]Birth of Tolman Gardner.[3]",FO
22,"Samwise, Rose and Elanor leave Gondor.[4] Death of Filibert Bolger.[7]",FO
27,Samwise elected Mayor for the fourth time.[4],FO
30,Elanor Gardner weds Fastred of Greenholm on the Far Downs.[4],FO
31,The Westmarch becomes a part of the Shire by the gift of the King. Many hobbits remove to it.[4],FO
33,Birth of Elfstan Fairbairn son of Fastred and Elanor.[4],FO
34,"Death of Imrahil. Elphir becomes Prince of Dol Amroth.[12]Fastred and Elanor make their dwelling at Undertowers on the Tower Hills, where their descendants, the Fairbairns of the Towers, dwell for many generations.[4]Samwise elected Mayor for the fifth time. At his request the Thain makes Fastred Warden of Westmarch.[4]",FO
41,Birth of Holfast Gardner.[3]Samwise elected Mayor for the sixth time.[4],FO
42,Faramir Took I weds Goldilocks Gardner.[4],FO
48,Samwise becomes Mayor for seventh and final time.[4],FO
55,Samwise Gamgee ends his seventh and last term as Mayor of Michel Delving.[4],FO
61,"Death of Rose Gamgee on Midyear's Day.[4]On 22 September Samwise rides out from Bag End and he comes to the Tower Hills, where he is last seen by Elanor. He gives her the Red Book afterwards kept by the Fairbairns. Samwise passes the Towers, goes to the Grey Havens and passed over the Sea, last of the Ring-bearers.[4]",FO
63,"Meriadoc Brandybuck and Peregrin Took depart from the Shire and travel into the south. Faramir Took I succeeds his father Peregrin as Thain of the Shire. Meriadoc comes to Edoras and is with King Éomer before he dies in the autumn. Then he and Thain Peregrin come to Gondor and pass what short years were left to them in that realm, until they die and were laid in Rath Dínen among the great of Gondor.[4] Elfwine becomes King of Rohan.[13]",FO
67,Death of Prince Elphir. Alphros becomes Prince of Dol Amroth.[14],FO
80,Birth of Harding of the Hill (Harding Gardner).[3],FO
82,Death of Faramir.[15] Elboron becomes Prince of Ithilien and Steward of the Reunited Kingdom.[12],FO
91,Apparent death of Dwalin at 340 years of age.[9],FO
95,Death of Alphros.[14],FO
120,"1 March: King Elessar dies. It is said that the beds of Meriadoc and Peregrin are set beside the bed of the great king. Eldarion becomes King of Gondor and Arnor.[4]Legolas builds a grey ship in Ithilien, and with Gimli sails down Anduin and so over the Sea. End in Middle-earth of the Fellowship of the Ring.[4]",FO
121,Death of Arwen Undómiel in Lórien.[16],FO
171,"A copy of the Red Book of Westmarch is completed in Gondor by Findegil, the King's Writer.[17]",FO
185,"Death of Harding of the Hill, Samwise Gamgee's heir.[18]:115",FO
220,"The New Shadow arises.[19] About this time, Eldarion's reign as High King comes to an end, and his presumable death.[20]",FO
???,Durin VII retakes Moria.,FO
